Transaction_ID,Date,Time,Amount,Merchant,Card_Number,Transaction_Type,Is_Fraud
1,2025-03-24,16:55:00,89.27,Merchant_14,CARD0019,Purchase,0
2,2025-03-17,06:17:00,138.42,Merchant_13,CARD0048,Purchase,0
3,2025-03-08,19:11:00,131.36,Merchant_18,CARD0007,Purchase,0
4,2025-01-29,22:47:00,89.24,Merchant_17,CARD0094,Purchase,0
5,2025-01-19,03:57:00,176.4,Merchant_9,CARD0075,Purchase,0
6,2025-01-05,16:40:00,102.22,Merchant_16,CARD0011,Purchase,0
7,2025-03-28,18:10:00,62.75,Merchant_9,CARD0081,Purchase,0
8,2025-01-09,04:02:00,48.34,Merchant_11,CARD0061,Purchase,0
9,2025-01-08,01:42:00,10.42,Merchant_14,CARD0096,Refund,0
10,2025-01-04,18:28:00,14.27,Merchant_14,CARD0004,Purchase,0
11,2025-02-20,18:43:00,15.57,Merchant_11,CARD0056,Refund,0
12,2025-03-22,01:56:00,51.84,Merchant_15,CARD0006,Purchase,0
13,2025-02-03,22:23:00,58.04,Merchant_12,CARD0062,Refund,0
14,2025-03-30,22:28:00,174.78,Merchant_14,CARD0030,Purchase,0
15,2025-03-25,07:25:00,105.09,Merchant_3,CARD0059,Online,0
16,2025-01-17,22:10:00,135.32,Merchant_12,CARD0043,Online,0
17,2025-02-13,07:10:00,63.64,Merchant_14,CARD0061,Purchase,0
18,2025-01-18,10:08:00,273.99,Merchant_9,CARD0056,Purchase,0
19,2025-01-18,09:30:00,48.11,Merchant_17,CARD0058,Online,0
20,2025-02-15,16:29:00,136.56,Merchant_17,CARD0059,Purchase,0
21,2025-02-27,03:10:00,161.64,Merchant_16,CARD0077,Purchase,0
22,2025-02-07,06:51:00,168.9,Merchant_2,CARD0065,Purchase,0
23,2025-01-17,04:45:00,128.98,Merchant_4,CARD0060,Online,0
24,2025-01-04,23:09:00,66.59,Merchant_8,CARD0053,Online,0
25,2025-03-26,02:27:00,21.51,Merchant_9,CARD0011,Purchase,0
26,2025-02-01,03:55:00,139.64,Merchant_16,CARD0080,Purchase,0
27,2025-03-25,10:07:00,153.81,Merchant_11,CARD0049,Purchase,0
28,2025-03-14,13:20:00,71.6,Merchant_10,CARD0042,Purchase,0
29,2025-01-14,00:29:00,60.58,Merchant_2,CARD0089,Purchase,0
30,2025-01-24,11:04:00,61.38,Merchant_1,CARD0062,Purchase,0
31,2025-03-22,18:42:00,67.14,Merchant_19,CARD0066,Purchase,0
32,2025-03-21,21:31:00,66.19,Merchant_7,CARD0091,Purchase,0
33,2025-01-23,16:22:00,37.88,Merchant_8,CARD0020,Cash_Advance,0
34,2025-02-16,10:18:00,195.46,Merchant_2,CARD0094,Online,0
35,2025-03-24,22:34:00,132.04,Merchant_3,CARD0017,Purchase,0
36,2025-02-17,15:31:00,124.91,Merchant_16,CARD0089,Purchase,0
37,2025-03-30,09:47:00,32.86,Merchant_7,CARD0044,Purchase,0
38,2025-01-06,05:02:00,105.71,Merchant_13,CARD0016,Purchase,0
